id,薬価コード,成分名,商品名,薬効分類コード,成分グループ,剤形コード,規格番号,銘柄番号,check_digit,規格,先発後発区分,削除フラグ
148,1129006F1021,リルマザホン塩酸塩水和物,リスミー錠１ｍｇ,1129,6,F,1,2,1,１ｍｇ１錠,先発,False
149,1129006F2028,リルマザホン塩酸塩水和物,リスミー錠２ｍｇ,1129,6,F,2,2,8,２ｍｇ１錠,先発,False
150,1129007F1018,ゾピクロン,ゾピクロン７．５ｍｇ錠,1129,7,F,1,1,8,７．５ｍｇ１錠,後発,False
151,1129007F1026,ゾピクロン,アモバン錠７．５,1129,7,F,1,2,6,７．５ｍｇ１錠,先発,False
152,1129007F2014,ゾピクロン,ゾピクロン１０ｍｇ錠,1129,7,F,2,1,4,１０ｍｇ１錠,後発,False
153,1129007F2022,ゾピクロン,アモバン錠１０,1129,7,F,2,2,2,１０ｍｇ１錠,先発,False
154,1129008F1012,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩５ｍｇ錠,1129,8,F,1,1,2,５ｍｇ１錠,後発,False
155,1129008F1039,タンドスピロンクエン酸塩,セディール錠５ｍｇ,1129,8,F,1,3,9,５ｍｇ１錠,先発,False
156,1129008F2019,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩１０ｍｇ錠,1129,8,F,2,1,9,１０ｍｇ１錠,後発,False
157,1129008F2035,タンドスピロンクエン酸塩,セディール錠１０ｍｇ,1129,8,F,2,3,5,１０ｍｇ１錠,先発,False
158,1129008F3015,タンドスピロンクエン酸塩,タンドスピロンクエン酸塩２０ｍｇ錠,1129,8,F,3,1,5,２０ｍｇ１錠,後発,False
159,1129008F3023,タンドスピロンクエン酸塩,セディール錠２０ｍｇ,1129,8,F,3,2,3,２０ｍｇ１錠,先発,False
160,1129009F1017,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩５ｍｇ錠,1129,9,F,1,1,7,５ｍｇ１錠,後発,False
161,1129009F1025,ゾルピデム酒石酸塩,マイスリー錠５ｍｇ,1129,9,F,1,2,5,５ｍｇ１錠,先発,False
162,1129009F1297,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩錠５ｍｇ「日医工」,1129,9,F,1,29,7,５ｍｇ１錠,後発,False
163,1129009F2013,ゾルピデム酒石酸塩,ゾルピデム酒石酸塩１０ｍｇ錠,1129,9,F,2,1,3,１０ｍｇ１錠,後発,False
